CM Course,Type Key,State Key,Name,Descr,formatID,shortName
ENGL454,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL455,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL457,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL465,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL466,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL467,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL468,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL470,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL472,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL475,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL478,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL479,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL487,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL488,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL489,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL494,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL495,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL498,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL499,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL601,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL602,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL607,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL611,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL621,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL625,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL631,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL688,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL689,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL699,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL702,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL749,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL758,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL798,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL799,,,Lecture Only,Courses with Lecture only,,LEC 
